"date","trips","total_time","avg_time","member_percent","casual_percent","ebike_percent","regular_percent"
"01-01",50132,864226.755349695,17.2390240834139,68.9340142025054,31.0659857974946,55.1902976142983,44.8097023857017
"01-02",57912,838094.717782914,14.4718662415891,76.6041580328775,23.3958419671225,53.1979555187181,46.8020444812819
"01-03",51457,608820.141616017,11.8316291586376,88.5535495656568,11.4464504343432,54.0703888683755,45.9296111316245
"01-04",73955,932206.382517019,12.6050487798935,85.7643161381921,14.2356838618079,51.6543844229599,48.3456155770401
"01-05",71045,828094.882016781,11.655920642083,87.6275599971849,12.3724400028151,52.2668731085931,47.7331268914069
"01-06",64353,738962.071683232,11.482946741927,86.6377635852252,13.3622364147748,54.4434602893416,45.5565397106584
"01-07",58716,719741.266283214,12.2580091675728,82.4783704612031,17.5216295387969,52.7011376796785,47.2988623203215
"01-08",49134,592802.51303273,12.065016343728,83.2946635730858,16.7053364269142,52.8656327593927,47.1343672406073
"01-09",61319,673036.378916255,10.9759842612608,90.0797468973728,9.92025310262724,50.3791646960975,49.6208353039025
"01-10",66411,727194.948550201,10.9499171605637,90.4217674782792,9.5782325217208,49.3562813389348,50.6437186610652
"01-11",66829,718754.937533967,10.7551353085332,91.0996722979545,8.90032770204552,48.2934055574676,51.7065944425324
"01-12",51198,555997.850733649,10.8597572314085,90.226180710184,9.77381928981601,52.0782061799289,47.9217938200711
"01-13",64821,721327.35414969,11.1279886788186,88.2800327054504,11.7199672945496,49.4716218509434,50.5283781490566
"01-14",43192,483606.872816616,11.1966769961246,85.5806630857566,14.4193369142434,47.2541211335433,52.7458788664567
"01-15",40759,485275.269583585,11.9059660340928,83.8980347898624,16.1019652101376,49.2995412056233,50.7004587943767
"01-16",49537,581074.81845057,11.7301172547908,86.5635787391243,13.4364212608757,50.6449724448392,49.3550275551608
"01-17",64604,719633.955799943,11.1391547860804,90.5826264627577,9.41737353724228,48.2833880255093,51.7166119744907
"01-18",75409,861268.548182995,11.4212965054967,90.1987826386771,9.80121736132292,46.8100624593881,53.1899375406119
"01-19",32113,328524.089083125,10.2302522057461,92.5419611995142,7.45803880048578,50.7146638433033,49.2853361566967
"01-20",67088,755798.176082282,11.2657729561514,88.5821607440973,11.4178392559027,50.8570832339614,49.1429167660386
"01-21",57696,708256.6062996,12.2756622001456,83.2536051026068,16.7463948973932,49.3569744869662,50.6430255130338
"01-22",39242,470031.607150833,11.9777688994147,84.1878599459763,15.8121400540237,47.5077722847969,52.4922277152031
"01-23",38217,379983.946550051,9.94279892587203,92.9847973414972,7.01520265850276,53.8032812622655,46.1967187377345
"01-24",67301,751124.254616852,11.1606700437862,90.8248020088855,9.17519799111454,50.2652263710792,49.7347736289208
"01-25",41673,424992.102633466,10.1982603276334,92.5227365440453,7.4772634559547,51.0234444364457,48.9765555635543
"01-26",64097,705870.913784159,11.0125421436909,90.6984726274241,9.30152737257594,51.3097336848839,48.6902663151162
"01-27",65216,730789.398365747,11.20567649604,88.5304219823356,11.4695780176644,50.3296736997056,49.6703263002944
"01-28",66276,881692.262850231,13.3033415240845,80.6732452169715,19.3267547830285,46.217333574748,53.782666425252
"01-29",57745,732557.53864947,12.6860773859116,81.7767772101481,18.2232227898519,47.2664299939389,52.7335700060611
"01-30",70158,823089.550833823,11.7319414868416,88.7981413381225,11.2018586618775,45.7424670030503,54.2575329969497
"01-31",57136,603432.15466708,10.5613300662818,91.6357462895547,8.36425371044525,45.9605152618314,54.0394847381686
"02-01",60155,650809.663951309,10.8188789618703,92.2018119857036,7.7981880142964,45.7085861524395,54.2914138475605
"02-02",62912,664108.053666854,10.5561427655591,91.6232197355036,8.37678026449644,47.3311927772126,52.6688072227874
"02-03",37852,358354.785450203,9.46726158327709,92.312163161788,7.68783683821198,52.7449011941245,47.2550988058755
"02-04",24546,235081.741983125,9.57719147653889,89.6154159537195,10.3845840462805,55.4224720932127,44.5775279067873
