date,TMAX,TMIN,PRCP,SNOW,AWND,TEMP_AVG,RAIN_FLAG,HOT_DAY,COLD_DAY,WEEKDAY,IS_WEEKEND,trips,total_time,avg_time,member_percent,casual_percent,ebike_percent,regular_percent,month,dayofweek,weather_comfort
2023-01-01,-0.6435129704514521,-0.15297989552456542,-0.35575609513752776,-0.09089765391678473,0.13083401280212148,-0.4151891843947156,0,0,0,1.4918089093564797,1,-1.4138290719753699,-0.7863666474848644,2.2449617516903198,-2.1448725154353907,2.1448725154353907,0.5945680224781836,-0.5945680224781834,1,6,-0.3623610972600501
2023-01-02,-0.584815350734034,-0.15297989552456542,-0.31278011656655336,-0.09089765391678473,-0.48103211987418115,-0.3840811890220103,1,0,0,-1.50829298570296,0,-1.1708969476096023,-0.8363583463728067,0.7649122015393341,-0.9000640769035099,0.9000640769035115,0.3098489502327693,-0.30984895023276915,1,0,-0.33756540608847074
2023-01-03,-0.45568058735571426,-0.2941812559856905,0.5639298462813248,-0.09089765391678473,-0.6849874974329487,-0.3840811890220103,1,0,0,-1.0082760031930535,0,-1.3724556703320996,-1.2749703583563812,-0.6472521672042282,1.039235073710127,-1.0392350737101272,0.43452553788378545,-0.43452553788378523,1,1,-0.4640234310635258
2023-01-04,0.07259799010104843,-0.15297989552456542,-0.31278011656655336,-0.09089765391678473,-0.07312136475664607,-0.03567164084771187,1,0,0,-0.5082590206831469,0,-0.6699509230337655,-0.6563187305102032,-0.23357885041111467,0.5865628182310785,-0.5865628182310779,0.08926226920842988,-0.08926226920842983,1,2,0.009574270313641359
2023-01-05,-0.9722196408689935,-0.4995650530200544,-0.32997050799494315,-0.09089765391678473,0.23281170158150524,-0.7573771334944729,1,0,0,-0.00824203817324019,0,-0.760816280605023,-0.8554884573437509,-0.7412321010387356,0.8889537159783537,-0.8889537159783526,0.17679101777081702,-0.17679101777081693,1,3,-0.7070212045450041
2023-01-06,-1.0426567845298953,-0.858986697830191,0.23731240914191926,-0.09089765391678473,0.334789390360889,-0.9689115020288682,1,0,0,0.49177494433666646,0,-0.969775377810128,-1.0260033130584545,-0.8337493905276953,0.7283169726154538,-0.7283169726154529,0.48783995065174596,-0.4878399506517457,1,4,-0.9996103603696412
2023-01-07,-1.300926311286535,-1.000188058291316,-0.35575609513752776,-0.09089765391678473,0.9466555230371917,-1.1742242714887228,0,0,0,0.9917919268465731,1,-1.1457918797445537,-1.0627735309752888,-0.4191973989219243,0.053277785025277274,-0.0532777850252767,0.23885034285498694,-0.23885034285498682,1,5,-1.1186296779932225
2023-01-08,-1.5591958380431745,-1.2825907792135665,-0.35575609513752776,-0.09089765391678473,0.028856324022737703,-1.4479746307685286,0,0,0,1.4918089093564797,1,-1.4449918303451688,-1.305612762837404,-0.5224220642433282,0.18575620739375812,-0.18575620739375756,0.2623577950084403,-0.2623577950084402,1,6,-1.3913822808805962
2023-01-09,-1.359623931003953,-1.000188058291316,-0.32997050799494315,-0.09089765391678473,-0.07312136475664607,-1.205332266861428,1,0,0,-1.50829298570296,0,-1.0645126612710198,-1.1521219662007283,-1.1049047182478635,1.2869257767008628,-1.2869257767008557,-0.09297519811546369,0.09297519811546365,1,0,-1.153343645633434
2023-01-10,-1.5591958380431745,-0.9360056217180774,-0.35575609513752776,-0.09089765391678473,-0.17509905353602984,-1.2799914557559204,0,0,0,-1.0082760031930535,0,-0.9055138981257129,-1.0485143198997893,-1.1188470384427394,1.3424332241072565,-1.342433224107257,-0.23915210273074589,0.23915210273074577,1,1,-1.2240113654724352
2023-01-11,-1.6883306014214943,-1.1413894187524414,-0.35575609513752776,-0.09089765391678473,0.844677834257808,-1.4479746307685286,0,0,0,-0.5082590206831469,0,-0.8924617608525907,-1.0646604198070866,-1.223028588232905,1.4524522353168954,-1.452452235316892,-0.39104419349306696,0.3910441934930668,1,2,-1.3913822808805962
2023-01-12,-0.6435129704514521,-1.000188058291316,0.2974787791412834,-0.09089765391678473,0.13083401280212148,-0.8258147233144243,1,0,0,-0.00824203817324019,0,-1.3805429994080294,-1.376021646592683,-1.1670702227406764,1.3106909172125671,-1.3106909172125654,0.1498292459888375,-0.14982924598883743,1,3,-0.8657136280431124
2023-01-13,-0.5143782070731323,-0.9360056217180774,-0.15806659371104545,-0.09089765391678473,1.1506109005959593,-0.7262691381217677,1,0,0,0.49177494433666646,0,-0.9551619800976371,-1.0597392774530343,-1.0236032231083505,0.9948452808724153,-0.9948452808724156,-0.22266916857789576,0.22266916857789565,1,4,-0.7008222817521094
2023-01-14,-1.758767745082396,-1.4237921396746915,-0.35575609513752776,-0.09089765391678473,1.9664324108310294,-1.6221794048556777,0,0,1,0.9917919268465731,1,-1.6305320209597434,-1.5145086651033408,-0.9868644033732491,0.5567572664070575,-0.5567572664070571,-0.5395649207493293,0.539564920749329,1,5,-1.5649521190816524
2023-01-15,-1.5591958380431745,-1.4879745762479302,-0.35575609513752776,-0.09089765391678473,2.272365477169181,-1.5475202159611852,0,0,1,1.4918089093564797,1,-1.7065029539394236,-1.5113169511550204,-0.6074921443337782,0.2836789581036773,-0.2836789581036779,-0.24726064902476316,0.24726064902476305,1,6,-1.4905650455669142
2023-01-16,-1.1013544042473133,-1.6291759367090553,-0.35575609513752776,-0.09089765391678473,1.3545662781547267,-1.373315441874036,0,0,1,-1.50829298570296,0,-1.4324080712038572,-1.328048341184589,-0.7015470994818715,0.7162773128020451,-0.7162773128020451,-0.05498948482592952,0.05498948482592949,1,0,-1.316995207365858
