date,TMAX,TMIN,PRCP,SNOW,AWND,TEMP_AVG,RAIN_FLAG,HOT_DAY,COLD_DAY,WEEKDAY,IS_WEEKEND,trips,total_time,avg_time,member_percent,casual_percent,ebike_percent,regular_percent
2023-01-01,12.8,9.4,0.0,0,22,11.1,0,0,0,6,1,50132,864226.755349695,17.2390240834139,68.9340142025054,31.0659857974946,55.1902976142983,44.8097023857017
2023-01-02,13.3,9.4,0.5,0,16,11.35,1,0,0,0,0,57912,838094.717782914,14.4718662415891,76.6041580328775,23.3958419671225,53.1979555187181,46.8020444812819
2023-01-03,14.4,8.3,10.7,0,14,11.35,1,0,0,1,0,51457,608820.141616017,11.8316291586376,88.5535495656568,11.4464504343432,54.0703888683755,45.9296111316245
2023-01-04,18.9,9.4,0.5,0,20,14.15,1,0,0,2,0,73955,932206.382517019,12.6050487798935,85.7643161381921,14.2356838618079,51.6543844229599,48.3456155770401
2023-01-05,10.0,6.7,0.3,0,23,8.35,1,0,0,3,0,71045,828094.882016781,11.655920642083,87.6275599971849,12.3724400028151,52.2668731085931,47.7331268914069
2023-01-06,9.4,3.9,6.9,0,24,6.65,1,0,0,4,0,64353,738962.071683232,11.482946741927,86.6377635852252,13.3622364147748,54.4434602893416,45.5565397106584
2023-01-07,7.2,2.8,0.0,0,30,5.0,0,0,0,5,1,58716,719741.266283214,12.2580091675728,82.4783704612031,17.5216295387969,52.7011376796785,47.2988623203215
2023-01-08,5.0,0.6,0.0,0,21,2.8,0,0,0,6,1,49134,592802.51303273,12.065016343728,83.2946635730858,16.7053364269142,52.8656327593927,47.1343672406073
2023-01-09,6.7,2.8,0.3,0,20,4.75,1,0,0,0,0,61319,673036.378916255,10.9759842612608,90.0797468973728,9.92025310262724,50.3791646960975,49.6208353039025
2023-01-10,5.0,3.3,0.0,0,19,4.15,0,0,0,1,0,66411,727194.948550201,10.9499171605637,90.4217674782792,9.5782325217208,49.3562813389348,50.6437186610652
2023-01-11,3.9,1.7,0.0,0,29,2.8,0,0,0,2,0,66829,718754.937533967,10.7551353085332,91.0996722979545,8.90032770204552,48.2934055574676,51.7065944425324
2023-01-12,12.8,2.8,7.6,0,22,7.800000000000001,1,0,0,3,0,51198,555997.850733649,10.8597572314085,90.226180710184,9.77381928981601,52.0782061799289,47.9217938200711
2023-01-13,13.9,3.3,2.3,0,32,8.6,1,0,0,4,0,64821,721327.35414969,11.1279886788186,88.2800327054504,11.7199672945496,49.4716218509434,50.5283781490566
2023-01-14,3.3,-0.5,0.0,0,40,1.4,0,0,1,5,1,43192,483606.872816616,11.1966769961246,85.5806630857566,14.4193369142434,47.2541211335433,52.7458788664567
2023-01-15,5.0,-1.0,0.0,0,43,2.0,0,0,1,6,1,40759,485275.269583585,11.9059660340928,83.8980347898624,16.1019652101376,49.2995412056233,50.7004587943767
2023-01-16,8.9,-2.1,0.0,0,34,3.4000000000000004,0,0,1,0,0,49537,581074.81845057,11.7301172547908,86.5635787391243,13.4364212608757,50.6449724448392,49.3550275551608
2023-01-17,8.3,1.7,0.0,0,14,5.0,0,0,0,1,0,64604,719633.955799943,11.1391547860804,90.5826264627577,9.41737353724228,48.2833880255093,51.7166119744907
2023-01-18,11.7,5.6,1.3,0,34,8.649999999999999,1,0,0,2,0,75409,861268.548182995,11.4212965054967,90.1987826386771,9.80121736132292,46.8100624593881,53.1899375406119
2023-01-19,6.7,4.4,22.1,0,19,5.550000000000001,1,0,0,3,0,32113,328524.089083125,10.2302522057461,92.5419611995142,7.45803880048578,50.7146638433033,49.2853361566967
2023-01-20,9.4,4.4,0.0,0,30,6.9,0,0,0,4,0,67088,755798.176082282,11.2657729561514,88.5821607440973,11.4178392559027,50.8570832339614,49.1429167660386
2023-01-21,5.6,2.8,0.0,0,25,4.199999999999999,0,0,0,5,1,57696,708256.6062996,12.2756622001456,83.2536051026068,16.7463948973932,49.3569744869662,50.6430255130338
2023-01-22,5.6,2.2,13.0,0,21,3.9,1,0,0,6,1,39242,470031.607150833,11.9777688994147,84.1878599459763,15.8121400540237,47.5077722847969,52.4922277152031
2023-01-23,3.9,2.2,10.4,0,34,3.05,1,0,0,0,0,38217,379983.946550051,9.94279892587203,92.9847973414972,7.01520265850276,53.8032812622655,46.1967187377345
2023-01-24,7.8,1.7,0.0,0,31,4.75,0,0,0,1,0,67301,751124.254616852,11.1606700437862,90.8248020088855,9.17519799111454,50.2652263710792,49.7347736289208
2023-01-25,12.2,1.7,22.9,0,27,6.949999999999999,1,0,0,2,0,41673,424992.102633466,10.1982603276334,92.5227365440453,7.4772634559547,51.0234444364457,48.9765555635543
2023-01-26,13.9,5.0,11.2,0,40,9.45,1,0,0,3,0,64097,705870.913784159,11.0125421436909,90.6984726274241,9.30152737257594,51.3097336848839,48.6902663151162
2023-01-27,6.7,1.7,0.0,0,26,4.2,0,0,0,4,0,65216,730789.398365747,11.20567649604,88.5304219823356,11.4695780176644,50.3296736997056,49.6703263002944
2023-01-28,11.1,2.2,0.0,0,32,6.65,0,0,0,5,1,66276,881692.262850231,13.3033415240845,80.6732452169715,19.3267547830285,46.217333574748,53.782666425252
2023-01-29,11.7,5.6,0.0,0,21,8.649999999999999,0,0,0,6,1,57745,732557.53864947,12.6860773859116,81.7767772101481,18.2232227898519,47.2664299939389,52.7335700060611
2023-01-30,12.8,6.1,0.0,0,13,9.45,0,0,0,0,0,70158,823089.550833823,11.7319414868416,88.7981413381225,11.2018586618775,45.7424670030503,54.2575329969497
